cid,text,time,author,channel,votes,photo,heart
Ugw84gsrypyk5oyBQB54AaABAg,👽,6 months ago,Diego Alves,UC3M4OW8ieOkdh5j7A1P2ZEQ,1,https://yt3.ggpht.com/f-Cuknr_3d77DZeB2l1pedEwjmCqqASAXredAg4-Va8gKNgNiyxCtiegzls30IdEtCIMKj1kRQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxkIJwLTH-V_kgxnzl4AaABAg,This makes me remember a memory that was never made,6 months ago,♡Dead_Butterfly♡,UCeSBcJ_yM_bRlc_syPunK-g,2,https://yt3.ggpht.com/W8U2nkaflND7EC0VlK4MfsCYvd8QlMuW4wGs_2Sqj1jyPQVX4BZ47l4Ql7zgd5i9-PXcAU7PlA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy4aMzostz5fTA2ZYh4AaABAg,"I was listening to this song recently on my way to work and all I could think of is how damn great this version is. This vibe is just so chilling, but so intense at the same time",6 months ago,Victor Rocha,UCbEMRINTQdwgUf1265VkGTA,15,https://yt3.ggpht.com/gu40U0WfVU5MmoPRVVW9hYnbHOVJKUr45a2-syq213hIZK2WRa4G3NaExALA2ZlWwfSM-bHiQQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzSzgnpnQxe2_PAFMl4AaABAg,Scarface - “The World Is Yours” but even more badass,6 months ago,Joel Robles,UCLpeL4xBlxrXRronDYqkDJg,1,https://yt3.ggpht.com/ytc/AKedOLTpo4-a2LzJq_sDvKoUnXT5EoGsyRQ4dd0tdg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwwuSuL9OIfazaYY_d4AaABAg,BRING BACK MIDNIGHT CITY PLS!!!!👌👁👄👁🤙,6 months ago,RiceAndSoda,UCNy9oGyfGV4TiwQHtV96AeA,0,https://yt3.ggpht.com/e4M11GVbitsRyCKjcmhQUBh3rWAryE1rRXfBB8yGy1MSDfclkBQ-HxttwFNW5kZv9NSTsR_5kQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxgQoYQ31480bcgdDZ4AaABAg,2021,6 months ago,MãRcö mertenz,UCrvdzvXM-RUDV8aB0I5iwYg,0,https://yt3.ggpht.com/ytc/AKedOLRAc-L48ZwtF8v-6bwwMiOWeo3PgGyofpfXyA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx862bYXKrVDKfCH5p4AaABAg,Musicas de outro planeta. Incrível,6 months ago,Gidel Chaves,UCfOqvV0rmBfWPIaXIV2SvlQ,6,https://yt3.ggpht.com/ytc/AKedOLQAfDk_8RYAwky7UC2bMdWGSmul1J4WRCHpi4476w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZd5HWNNy5LAbjvq14AaABAg,"Está canción yo la escuchaba  cuándo me enteré que mi ex novio me engañaba. 
Lloraba todos los días con está canción, sintiendo cómo mi mundo se caía a pedazos.
Ya a pasado un año, me dio depresión, ansiedad en niveles muy crónicos. Y ahora me doy cuenta qué soy más fuerte gracias a todo ese sufrimiento vivido. Está canción me recuerda mi lucha.",7 months ago,Dana Vidal,UCMeTmL4DBvbgYl67SvV0rgg,1,https://yt3.ggpht.com/ytc/AKedOLRlkXRoE-zdWBWjj3v2S03KGzd22_Ky7Y0JrOrBQQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzXQ2ldwnq5fZmAAiF4AaABAg,I searched for this song ❤️,7 months ago,Parzival,UCPyikCRdktYWrHety8TrRUQ,0,https://yt3.ggpht.com/_hTaPDIosOGvv-vdNPgsQkgEiMSPKrrwCKFJz45uqaHhQNeEj_QDYtNzEKLTB0urcAbyDKpl=s176-c-k-c0x00ffffff-no-rj,0.0
UgxuYfIVwixiYX0od3d4AaABAg,Great musician,7 months ago,Naked-Art Radio,UCFvRPd5ucyNM4BFAPFN_CAQ,0,https://yt3.ggpht.com/ytc/AKedOLSQwmEpdbmh3KWaWcGWa1Zk9wxuPae-JbXhxwPV=s176-c-k-c0x00ffffff-no-rj,0.0
